Date,Time,Latitude,Longitude,Altitude (m),Altitude (ft)
2019-01-26,03:30:13,-55.41017199779612,107.78427100396486,8601.200673928484,28219.163219051527
2019-01-26,03:30:18,-55.41932300063443,107.77938799609336,8601.099404048175,28218.830968777413
2019-01-26,03:30:23,-55.42847399809352,107.77449000412552,8601.400891355239,28219.82010039392
2019-01-26,03:30:28,-55.43764500261823,107.76966100375928,8599.099997315556,28212.27123519277
2019-01-26,03:30:33,-55.446823000690884,107.7647709957325,8600.500067003071,28216.864639826355
2019-01-26,03:30:38,-55.45600900069438,107.75991800246902,8600.200493475422,28215.881787013903
2019-01-26,03:30:43,-55.465209997897944,107.75504299075273,8600.200263408944,28215.8810322026
2019-01-26,03:30:48,-55.47441499891077,107.75014500163957,8599.799285731278,28214.565488598608
2019-01-26,03:30:53,-55.483619998103954,107.74523200289948,8600.099961756729,28215.551958529944
2019-01-26,03:30:59,-55.49468200326709,107.73937200010688,8600.499661530368,28216.863309535293
2019-01-26,03:31:04,-55.503918000440294,107.73450500530467,8600.800207863562,28217.84935396709
2019-01-26,03:31:09,-55.51316100316754,107.72962199683585,8599.799750276841,28214.567012698273
2019-01-26,03:31:14,-55.52241899863786,107.72477700042234,8598.599304539151,28210.628542304228
2019-01-26,03:31:19,-55.531677005186424,107.71986399595332,8596.50019992236,28203.74171591328
2019-01-26,03:31:24,-55.540946997587604,107.71497300150777,8595.299704604782,28199.803082855553
2019-01-26,03:31:29,-55.55022000330534,107.71002199891366,8593.799874868244,28194.88238146273
2019-01-26,03:31:34,-55.559486001429725,107.7050319929875,8591.0998487873,28186.024027895328
2019-01-26,03:31:39,-55.56875200196105,107.7000429944178,8589.499756612815,28180.77438148559
2019-01-26,03:31:44,-55.57801800306969,107.69508400699515,8588.499934971333,28177.494126651345
2019-01-26,03:31:49,-55.5872729996392,107.69005599207213,8587.700659183785,28174.87183067653
2019-01-26,03:31:54,-55.596527002429134,107.68501999711476,8588.999795242213,28179.13408822246
2019-01-26,03:31:59,-55.60578500046704,107.67999999510054,8590.200474947691,28183.073326227382
